Name	Surname	E-mail
Andrew	Sos	andrew.sos@corp.com
Jessica	Oliva	jessica.oliva@corp.com
Ted	Doblan	ted.doblan@corp.com
John	Hren	john.hren@corp.com
Bill	Gates	bill.gates@corp.com
Mark	Zuker	mark.zuker@corp.com
Elon	Mask	elon.mask@corp.com
Jessica	Coca	jessica.coca@corp.com
Misha	Ostanin	misha.ostanin@corp.com
Jason	Voorhes	jason.voorhes@corp.com
Jack	Jackson	jack.jackson@corp.com
Kotlin	Java	kotlin.java@corp.com
Lok	Java	lok.java@corp.com
Lqaquca	Rsif	lqaquca.rsif@corp.com
Zmgzoar	Vwf	zmgzoar.vwf@corp.com
Ieqbkqhd	Ezvqhydc	ieqbkqhd.ezvqhydc@corp.com
Iog	Rsmvuul	iog.rsmvuul@corp.com
Petr	Jsaf	petr.jsaf@corp.com
Fedya	Hok	fedya.hok@corp.com
Sup	Zal	sup.zal@corp.com
